name,category,size,avg doc length,avg sentence length,avg sentences in doc,avg text dynamics,avg nouns to verbs,avg stopwords to words,avg punctuation to words
news_7_general_corpus,Internet,1269,352.20594780576727,14.288627496487404,24.649389725664737,0.08493860640018831,3.970704927539185,0.30215716139359095,0.21162959923334498
news_8_general_corpus,Internet,1671,568.5131349678867,13.733765200306976,41.39528575566293,0.10053316424636022,3.016637526146833,0.3366105100936952,0.1922441072801838
news_9_general_corpus,Internet,642,639.2666536301172,17.60621124656526,36.30915502929852,0.0886063275635416,3.486870469168441,0.3264606331951547,0.18838729223372325
news_10_sport_corpus,Internet,143,218.61412247289775,15.14622089441912,14.43357547713105,0.10603638914731046,2.3827080911666756,0.34627870616981327,0.17151240631543824
news_11_it_corpus,Internet,467,432.74083389224234,16.96827996767028,25.502928683210374,0.11359710092179641,2.0378690237861568,0.4024737429899185,0.16317998646191026
news_12_sport_corpus,Internet,92,288.3613981272199,14.739439176755049,19.563932838230546,0.10264419530594551,2.483744479845855,0.3383641437637817,0.16005224760730088
news_13_general_corpus,Internet,369,1162.6074720136671,24.63814624228387,47.18729487928787,0.05585832616843745,6.353447705919635,0.326640597453708,0.17672952672089173
news_14_general_corpus,Internet,1005,1591.5709649818439,10.844205814245393,146.76694561542635,0.11531162157531255,2.530587616037745,0.3474411212576533,0.19734278801069655
news_15_general_corpus,Internet,243,480.8691969182382,14.178210634636073,33.9160708858083,0.08999907194304649,3.286574166387521,0.353013023329516,0.17624359425657787
news_16_general_corpus,Internet,753,732.3584044887427,14.128508524532858,51.83550713913429,0.10663284721540325,2.680329957781362,0.3551848240842861,0.1944435463130178
news_17_general_corpus,Internet,863,853.0289164800869,15.807960236661868,53.96198520930864,0.0974246438730894,3.064207532386932,0.32740295131872527,0.20602390087828693
news_18_general_corpus,Internet,476,962.7625389513616,14.581462399869988,66.02647337759112,0.11248337936224062,2.4600134513697705,0.36424124043647094,0.20426106101358424
news_19_general_corpus,Internet,229,834.2063399907106,15.504348831959545,53.80466790524849,0.11063718431527028,2.2203749694906385,0.4066155311980413,0.20709024057704528
news_20_general_corpus,Internet,355,615.3139577855914,14.234622882712863,43.226572481442766,0.11606689844427598,2.179338813039226,0.39715324045720896,0.18526562689753753
news_21_it_corpus,Internet,533,814.9319456525,15.403556207470443,52.90544174839787,0.09861724794225847,2.6985401349981086,0.37332272727953053,0.17339358315833442
news_22_general_corpus,Internet,120,473.65074454697987,14.45252974190617,32.772860738255034,0.11062579848910722,2.611726103722027,0.3518792950702095,0.19408616868805742
news_23_sport_corpus,Internet,410,1465.6754652827487,13.424644702021762,109.17797065139585,0.12082248168831644,1.8980698105988307,0.4119866445174165,0.19037464555939423
news_24_general_corpus,Internet,12328,5.201449539957796e-07,1.0,5.201449539957796e-07,1.0,1.0,1.0,1.0
news_25_general_corpus,Internet,411,9.01160694975128e-06,1.0,9.01160694975128e-06,1.0,1.0,1.0,1.0
news_26_general_corpus,Internet,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news_27_general_corpus,Internet,928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news_28_general_corpus,Internet,1812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shopping_1_general_corpus,Internet,10545,737.0369247166478,13.66070490705955,53.95306682422834,0.10340746839767577,3.028404123130656,0.3597582194355806,0.16653923500060056
songs_general_corpus,Internet,333,277.64089896583016,14.269414409437251,19.45706326828724,0.15737523344966298,1.3628803950818686,0.4246751543766356,0.15990358467304008
job_offers_pl_corpus,Internet,1712,265.73327622268704,18.49725153008781,14.36609518935517,0.057693678191896296,6.591440217302567,0.24344822953697404,0.17363591863600653
eurlex_corpus,Law,5990,3500.830052200456,33.21646684388381,105.3944138205376,0.04227182489887125,7.488688190890626,0.21867031962352138,0.2441044949357446
usenet,Internet,19493,156475.57613148168,14.416737473647162,10853.743880507544,0.10295162749718896,2.304738383708913,0.35702087692197854,0.2742878214650927
ulotki_medyczne,Medical,451,3250.517635498552,18.046899478106667,180.11501861812164,0.06761102894897122,5.5826653510575035,0.24093513064952307,0.18718607705920745
forum_wizaz_pl_corpus,Dialogue,15616,1271.4180725331894,15.870110657778131,80.1140017199598,0.13275996606409418,1.6065074873699081,0.4601727669895384,0.20985178178809072
forum_muratordom_pl_corpus,Dialogue,4509,1101.510896997818,14.655434775911495,75.16057447905426,0.11782876117374379,2.1047957449983716,0.41734261265057043,0.1990006535448362
forum_matematykaszkolna_pl_corpus,Dialogue,35,670.4886412808308,19.61571473331413,34.181198615318046,0.10709895471069121,2.1162264480663575,0.35922621453350173,0.19409415654767176
forum_mp3store_pl_corpus,Dialogue,418,904.0079729211567,14.874073076569978,60.77743253427827,0.11696787880632538,1.776809774003797,0.4287850466250858,0.19058357862607506
forum_zadania_info_pl_corpus,Dialogue,635,146.35870648838946,13.989753537613078,10.46185024595945,0.10440081484616157,2.7469122373695187,0.3039334194945463,0.3006562027813043
forum_gazeta_pl_corpus,Dialogue,15631,969.03637487912,15.917059835304299,60.88036263643248,0.11111544548226712,2.0978288209057316,0.3928928226055996,0.24791260190457282
forum_vitalia_pl_corpus,Internet,2380,387.34265689220047,15.26184045732247,25.379813003244802,0.13923943679570264,1.5218870019938517,0.4498828239431561,0.20084775800950397
forum_optymalizacja_com_corpus,Dialogue,440,336.2430865741568,15.395617255924277,21.840182240485973,0.11466402240746063,2.256783755878371,0.38823299831681907,0.20099655068645314
forum_infor_pl_corpus,Dialogue,757,286.60186151683973,16.67577826885543,17.18671577998327,0.11158579927684506,2.5813596210375906,0.3965181265987806,0.16982735600094487
forumpc_pl_corpus,Dialogue,1243,466.30739037671214,19.43483582572143,23.99337944288514,0.08677817975558179,2.458120826132741,0.2395496194088588,0.42541733292406614
forum_dogomania_com_corpus,Dialogue,3740,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum_benchmark_pl_corpus,Internet,1097,714.2226628895185,16.7323699579618,42.68508673211999,0.11661673894073242,1.91457005102995,0.4166741891592455,0.1600726219097212
forum_abczdrowie_pl_corpus,Dialogue,295,306.77362533909746,14.185544570958717,21.625791227439954,0.14708886885028255,1.4639296286703378,0.46324608948373724,0.17300036970744173
forum_nerwica_com_corpus,Dialogue,1342,2676.077813458589,14.814728948895679,180.63629936733128,0.14249183344732516,1.4564989926587932,0.46977153801636334,0.201715227925793
forum_parenting_pl_corpus,Dialogue,970,5519.054288351243,16.20491926239615,340.5789438987409,0.13886106068901624,1.4719628907589857,0.4716905370578363,0.1766966907429561
forum_rowerowe_org_corpus,Dialogue,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum_kafeteria_pl_corpus,Dialogue,19943,715.0712452866968,15.786105392774763,45.29750863148184,0.13809077045777718,1.4967676399414445,0.46454907401583584,0.2046306312889418
gowork,Internet,634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum_nissanklub_pl_corpus,Dialogue,372,658.1654300132575,15.651150823484127,42.05220673138605,0.12594436841776355,1.8996754320478737,0.4268583828833388,0.16874221048702306
forum_motocyklistow_pl_corpus,Dialogue,605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum_strefacaraudio_pl_corpus,Dialogue,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a4-klub_pl_corpus,Dialogue,770,600.148143073143,17.451824085992193,34.38884898884899,0.1250852564256543,1.8427182379780949,0.4097657784724654,0.21970768368450702
m-forum_pl_corpus,Dialogue,122,2280.017931189062,13.827992566925538,164.88423176061863,0.13425513404048248,1.5602809875055237,0.471837981577421,0.20768808430738378
forum_pclab_pl_corpus,Dialogue,4494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum_satkurier_pl_corpus,Dialogue,539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
